,Town,Biden,Sanders,Warren,Bloomberg,Rpt.
222,Blackstone,462,331,164,143,100%
223,Ware,419,414,175,136,100%
224,Granby,358,404,208,138,100%
225,Boylston,455,309,207,148,100%
226,Southwick,394,358,141,196,100%
227,Winchendon,388,383,142,135,100%
228,Ashburnham,371,383,192,114,100%
229,Douglas,432,353,161,112,100%
230,Mendon,383,314,202,114,100%
231,Wenham,400,178,240,191,100%
232,Dighton,415,338,136,120,100%
233,Essex,382,277,209,151,100%
234,Williamsburg,202,391,369,52,100%
235,Templeton,381,313,122,148,100%
236,Hatfield,305,329,250,104,100%
237,Sunderland,225,426,283,61,100%
238,Paxton,331,253,193,121,100%
239,Princeton,328,249,192,110,100%
240,Barre,277,348,141,81,100%
241,Shutesbury,129,371,346,26,100%
242,Berlin,259,226,248,111,100%
243,Shrewsbury,366,181,131,121,10%
244,Avon,312,277,111,95,100%
245,Hubbardston,286,278,131,78,100%
246,Hampden,347,207,104,101,100%
247,Sheffield,293,214,194,71,100%
248,Northfield,186,298,192,51,100%
249,Conway,191,251,225,44,100%
250,Ashfield,147,267,224,29,100%
251,Shelburne,152,273,205,33,100%
252,Dalton,311,181,105,58,100%
253,Stockbridge,245,154,160,75,100%
254,West Brookfield,275,204,82,67,100%
255,Lanesborough,262,197,114,46,100%
256,Ashby,189,234,102,77,100%
257,Pelham,137,207,253,26,100%
258,Cheshire,275,169,92,65,100%
259,Buckland,145,230,189,30,100%
260,Lunenburg,210,159,106,75,25%
261,Plympton,249,149,73,64,100%
262,Bernardston,185,206,70,63,100%
263,Chilmark,131,143,134,81,100%
264,Whately,155,162,122,49,100%
265,Fairhaven,166,154,59,82,17%
266,Brookfield,188,150,77,44,100%
267,West Stockbridge,148,147,119,38,100%
268,Gill,142,164,113,39,100%
269,Hardwick,151,119,89,56,100%
270,Millville,172,139,41,48,100%
271,Hinsdale,186,110,58,52,100%
272,New Marlborough,146,100,86,47,100%
273,Colrain,87,175,97,19,100%
274,Worthington,92,123,112,42,100%
275,Holland,139,114,60,37,100%
276,Becket,142,100,85,31,100%
277,Oakham,140,111,60,28,100%
278,East Brookfield,125,93,40,49,100%
279,Chesterfield,74,117,92,22,100%
280,Erving,84,139,52,23,100%
281,Cummington,73,115,86,24,100%
282,Otis,100,95,51,44,100%
283,Charlemont,81,125,67,14,100%
284,Goshen,74,89,90,30,100%
285,Phillipston,82,109,44,35,100%
286,Monterey,72,72,70,39,100%
287,Royalston,98,94,39,17,100%
288,Granville,87,74,46,27,100%
289,Leyden,71,78,72,22,100%
290,Wales,83,87,30,39,100%
291,Plainfield,52,71,86,18,100%
292,Windsor,85,82,35,20,100%
293,Heath,57,73,51,13,100%
294,Chester,57,64,27,29,100%
295,Washington,70,43,33,14,100%
296,Blandford,79,37,30,19,100%
297,Peru,59,62,18,6,100%
298,Sandisfield,46,45,33,17,100%
299,Montgomery,53,48,19,23,100%
300,Florida,45,46,15,9,100%
301,Savoy,25,46,14,19,100%
302,Hawley,44,25,24,12,100%
303,Rowe,32,37,22,11,100%
304,Tolland,32,20,7,0,100%
305,Acushnet,0,0,0,0,0%
306,Alford,0,0,0,0,0%
307,Aquinnah,0,0,0,0,0%
308,Bellingham,0,0,0,0,0%
309,Berkley,0,0,0,0,0%
310,Brimfield,0,0,0,0,0%
311,Carver,0,0,0,0,0%
312,Clarksburg,0,0,0,0,0%
313,Dunstable,0,0,0,0,0%
314,Duxbury,0,0,0,0,0%
315,Egremont,0,0,0,0,0%
316,Freetown,0,0,0,0,0%
317,Georgetown,0,0,0,0,0%
318,Gosnold,0,0,0,0,0%
319,Great Barrington,0,0,0,0,0%
320,Hancock,0,0,0,0,0%
321,Hingham,0,0,0,0,0%
322,Huntington,0,0,0,0,0%
323,Leverett,0,0,0,0,0%
324,Manchester,0,0,0,0,0%
325,Mansfield,0,0,0,0,0%
326,Medway,0,0,0,0,0%
327,Middlefield,0,0,0,0,0%
328,Monroe,0,0,0,0,0%
329,Mount Washington,0,0,0,0,0%
330,Nahant,0,0,0,0,0%
331,New Ashford,0,0,0,0,0%
332,New Braintree,0,0,0,0,0%
333,New Salem,0,0,0,0,0%
334,North Brookfield,0,0,0,0,0%
335,Norton,0,0,0,0,0%
336,Orange,0,0,0,0,0%
337,Petersham,0,0,0,0,0%
338,Reading,0,0,0,0,0%
339,Richmond,0,0,0,0,0%
340,Rochester,0,0,0,0,0%
341,Russell,0,0,0,0,0%
342,Tisbury,0,0,0,0,0%
343,Topsfield,0,0,0,0,0%
344,Truro,0,0,0,0,0%
345,Tyringham,0,0,0,0,0%
346,Warren,0,0,0,0,0%
347,Warwick,0,0,0,0,0%
348,Webster,0,0,0,0,0%
349,Wendell,0,0,0,0,0%
350,Westhampton,0,0,0,0,0%
