,County,Biden,Sanders,Bloomberg,Warren,Rpt.
0,Harris,121211,91900,47200,35761,100%
1,Dallas,93426,62611,31419,22913,100%
2,Travis,52731,83803,18595,49734,100%
3,Bexar,48923,56763,26031,21046,100%
4,Tarrant,58320,47059,18769,14929,100%
5,Collin,29960,25548,11229,9585,100%
6,Fort Bend,29189,18285,10459,6060,100%
7,El Paso,19237,24738,13994,4165,100%
8,Denton,21936,22238,8126,8343,100%
9,Williamson,18097,19272,6811,10285,100%
10,Hidalgo,15744,16560,15682,3840,<1%
11,Cameron,7508,10470,6355,1947,100%
12,Webb,5372,9446,5903,1486,100%
13,Montgomery,9932,6458,3734,2830,100%
14,Hays,7028,9772,2119,3852,100%
15,Nueces,8559,5655,4250,1989,100%
16,Galveston,9120,5418,2911,2425,100%
17,Brazoria,8839,5840,3119,2159,100%
18,Jefferson,9768,3974,3777,1077,100%
19,Bell,7793,4774,2434,1693,100%
20,Lubbock,4457,4566,1796,1769,100%
21,Brazos,4090,4740,998,1976,100%
22,McLennan,5359,3079,1677,1652,100%
23,Smith,5338,2615,1818,813,100%
24,Guadalupe,3799,2833,1397,1085,<1%
