state,Biden,Bloomberg,County,Rpt.,Sanders,Town,Warren
CO,105,126,Bent,100%,151,,35
CO,92,104,Kit Carson,<1%,108,,36
CO,80,78,Crowley,<1%,69,,28
CO,71,58,Rio Blanco,100%,80,,49
CO,73,70,Phillips,100%,69,,26
CO,60,50,Lincoln,100%,74,,47
CO,67,38,Baca,89%,60,,28
CO,48,36,Mineral,100%,60,,44
CO,34,31,San Juan,<1%,86,,38
CO,40,40,Sedgwick,100%,57,,25
CO,39,35,Washington,<1%,62,,27
CO,38,23,Dolores,25%,71,,28
CO,25,26,Hinsdale,<1%,36,,19
CO,32,8,Jackson,100%,26,,14
CO,21,26,Cheyenne,80%,13,,8
CO,23,18,Kiowa,25%,16,,5
MA,43210,11878,,100%,43154,Boston,39188
MA,7362,2133,,100%,10180,Cambridge,15198
MA,10510,4734,,100%,4994,Newton,8441
MA,4325,1082,,100%,9847,Somerville,11060
MA,8215,2470,,100%,8837,Worcester,4388
MA,5691,2092,,100%,3606,Brookline,6523
MA,4799,1404,,100%,3913,Arlington,7101
MA,5848,2005,,100%,5236,Quincy,3494
MA,6631,1824,,100%,5711,Springfield,2181
MA,4077,1877,,100%,4681,Medford,4473
MA,5012,1757,,100%,3292,Framingham,3312
MA,5018,1862,,100%,2168,Concord,4258
MA,3929,1469,,100%,4988,Lowell,2291
MA,3840,1274,,100%,3558,Waltham,3487
MA,5005,1705,,100%,2987,Plymouth,1826
MA,2554,669,,100%,4283,Northampton,4394
MA,4553,1517,,100%,3161,Weymouth,1929
MA,4871,1098,,100%,3434,Brockton,1421
MA,3008,1039,,100%,4036,Salem,2781
MA,3782,1187,,100%,4102,Lynn,1580
MA,3706,1588,,100%,1715,Lexington,3263
MA,3690,1329,,83%,3781,New Bedford,1317
MA,2871,802,,100%,3030,Watertown,3569
MA,3573,1152,,100%,3516,Haverhill,1571
MA,3759,1276,,100%,2002,Natick,2632
MA,4115,1850,,100%,1288,Needham,2390
MA,3375,1223,,100%,2778,Beverly,2322
MA,2801,876,,100%,3704,Malden,2297
MA,3954,1589,,100%,2319,Peabody,1188
MA,3876,1372,,100%,2203,Barnstable,1399
MA,3105,1094,,100%,1933,Melrose,2496
MA,3503,1243,,100%,1875,Falmouth,1658
MA,2681,1043,,100%,1805,Belmont,2856
MA,3388,1289,,100%,2630,Fall River,914
MA,3388,1283,,100%,2630,Hull,914
MA,3491,1205,,100%,1545,Milton,1937
MA,3036,1315,,91%,1752,Andover,1910
MA,2871,1127,,100%,2044,Chelmsford,1664
MA,3483,775,,100%,2428,Pittsfield,1393
MA,3143,1116,,100%,2056,Braintree,1203
MA,2845,1027,,100%,2151,Woburn,1499
MA,1587,364,,100%,3222,Amherst,2659
MA,3243,1668,,100%,905,Wellesley,1707
MA,2801,1161,,100%,1464,Reading,1618
MA,2655,972,,100%,2217,Billerica,1122
MA,2576,848,,100%,1623,Norwood,1277
MA,2457,903,,100%,2037,Gloucester,1535
MA,2405,910,,100%,1964,Marlborough,1369
MA,2847,882,,100%,1810,Shrewsbury,1225
MA,2398,894,,100%,2280,Methuen,917
MA,2731,886,,100%,2215,Taunton,814
MA,2555,931,,100%,1589,Dedham,1514
MA,2706,968,,100%,2313,Chicopee,752
MA,2631,939,,100%,1546,Franklin,1263
MA,1391,925,,100%,3001,Lawrence,1044
MA,2149,823,,100%,1332,Acton,1996
MA,2404,1179,,100%,1087,Winchester,1555
MA,2657,1245,,100%,1097,Marblehead,1341
MA,1998,828,,100%,2390,Revere,951
MA,2694,492,,100%,1614,Randolph,765
MA,2286,932,,100%,1400,Wakefield,1363
MA,2189,822,,100%,2033,Attleboro,989
MA,2266,850,,100%,1426,Westford,1310
MA,2302,843,,100%,1267,Newburyport,1342
MA,2264,745,,100%,1806,Leominster,872
MA,2231,826,,100%,1403,North Andover,1127
