,Town,Biden,Sanders,Warren,Bloomberg,Rpt.
64,Turner,211,135,143,93,100%
65,Bristol,225,168,113,80,100%
66,Oakland,200,181,86,100,100%
67,Presque Isle,272,149,66,83,100%
68,St. George,234,145,105,82,100%
69,Mount Desert,167,220,119,57,100%
70,Rumford,226,182,41,94,100%
71,Bowdoinham,161,195,137,39,100%
72,Lincolnville,165,245,93,51,100%
73,Fairfield,203,184,55,89,100%
74,Jay,233,147,55,83,100%
75,Lyman,184,191,38,90,100%
76,Madawaska,279,102,26,98,100%
77,Fort Kent,265,107,32,105,100%
78,Newcastle,178,180,89,58,100%
79,Hollis,177,191,69,62,100%
80,Boothbay,196,127,83,80,100%
81,China,196,150,78,60,100%
82,Hermon,227,142,34,75,100%
83,Woolwich,190,141,77,76,100%
84,Caribou,254,104,30,89,100%
85,Paris,169,174,64,66,100%
86,Damariscotta,155,182,77,60,100%
87,Lebanon,181,192,45,53,100%
88,Vassalboro,167,148,68,81,100%
89,Bucksport,172,156,64,64,100%
90,Fryeburg,175,189,49,49,100%
91,Readfield,182,128,82,50,100%
92,Sidney,192,126,59,56,100%
93,Naples,172,144,50,72,100%
94,Durham,137,161,69,52,100%
95,Richmond,155,169,46,56,100%
96,Bethel,163,149,75,39,100%
97,Wiscasset,149,169,57,54,100%
98,Winterport,162,141,67,55,100%
99,Monmouth,177,139,48,48,100%
100,Alfred,173,144,47,49,100%
101,Casco,142,152,51,62,100%
102,Sabattus,155,108,48,91,100%
103,Southwest Harbor,119,155,81,41,100%
104,West Gardiner,160,130,44,62,100%
105,Wilton,180,122,50,48,100%
106,Boothbay Harbor,154,106,54,68,100%
107,Farmingdale,153,129,35,57,100%
108,Glenburn,132,136,47,60,100%
109,Phippsburg,144,86,60,89,100%
110,Warren,116,160,56,43,100%
111,Belgrade,145,100,53,63,100%
112,Limington,119,159,29,56,100%
113,Ogunquit,185,56,36,66,100%
114,Manchester,174,90,41,42,100%
115,Greene,149,111,27,60,100%
116,Limerick,128,156,28,42,100%
117,Litchfield,138,106,52,44,100%
118,Hope,89,156,71,33,100%
119,Pownal,137,111,64,35,100%
120,Nobleboro,123,132,45,34,100%
121,Union,128,117,55,37,100%
122,Harrison,127,129,32,42,100%
123,Northport,111,113,64,48,100%
124,West Bath,142,100,47,47,100%
125,Deer Isle,139,88,71,41,100%
126,Milford,147,102,37,43,100%
127,Jefferson,131,101,48,37,100%
128,Orland,137,97,54,38,100%
129,Holden,137,99,45,40,100%
130,Searsport,110,110,42,55,100%
131,Surry,87,114,73,41,100%
132,Madison,143,93,17,57,100%
133,Whitefield,95,110,66,39,100%
134,Lamoine,104,113,58,25,100%
135,Dover-Foxcroft,109,107,44,44,100%
136,Acton,95,108,40,39,100%
137,Tremont,91,118,50,37,100%
138,Veazie,100,120,42,33,100%
139,Pittsfield,102,79,41,63,100%
140,Bowdoin,98,95,51,31,100%
141,Owl's Head,120,87,36,40,100%
142,Norridgewock,113,91,29,43,100%
143,Pittston,109,103,25,41,100%
144,Unity,64,178,26,16,100%
145,Mount Vernon,112,86,48,22,100%
146,Georgetown,98,83,65,27,100%
147,Mexico,109,103,22,33,100%
148,Livermore,103,80,23,63,100%
149,Waldo,63,172,24,16,100%
150,Sedgwick,78,101,63,27,100%
151,Houlton,124,74,38,30,100%
152,Lincoln,109,90,22,41,100%
153,Minot,95,94,30,42,100%
154,Livermore Falls,100,95,16,41,100%
155,South Thomaston,97,72,47,47,100%
156,Edgecomb,114,78,42,29,100%
157,Fort Fairfield,132,74,22,23,100%
158,Stockton Springs,93,78,41,36,100%
159,Dexter,97,78,19,51,100%
160,Sebago,87,98,25,38,100%
161,Shapleigh,102,84,19,33,100%
162,Dresden,70,109,48,16,100%
163,Wayne,108,60,44,26,100%
164,Mechanic Falls,86,98,27,29,100%
165,Searsmont,59,106,50,27,100%
166,Hancock,79,75,37,38,100%
167,Appleton,62,116,50,14,100%
168,Brooksville,79,78,50,29,100%
169,Chelsea,101,66,27,38,100%
170,Eastport,87,75,42,29,100%
171,Newport,108,61,27,34,100%
172,Vinalhaven,72,80,53,28,100%
173,Lubec,95,66,40,32,100%
174,Gouldsboro,93,66,27,41,100%
175,Brooklin,82,73,54,15,100%
176,Dayton,94,62,30,32,100%
177,Leeds,104,64,21,30,100%
178,Benton,90,78,21,34,100%
179,Trenton,69,83,46,23,100%
180,Parsonsfield,80,91,24,25,100%
181,Otisfield,84,67,34,29,100%
182,South Bristol,91,69,25,34,100%
183,Dedham,96,65,30,21,100%
184,Randolph,79,63,25,40,100%
185,Washington,61,95,33,21,100%
186,Van Buren,108,43,9,40,100%
187,Cushing,83,62,30,28,100%
188,Bremen,68,53,33,31,100%
189,Castine,70,69,37,23,100%
190,Waterford,82,68,31,12,100%
191,Calais,84,52,23,32,100%
192,Carmel,73,60,16,40,100%
193,Greenville,72,51,26,36,100%
194,Machias,58,69,31,24,100%
195,Brownfield,66,88,24,13,100%
196,Stonington,77,60,20,27,100%
197,Bradley,80,44,14,38,100%
198,East Millinocket,72,37,14,58,100%
199,Fayette,76,50,29,29,100%
200,Cornish,80,61,16,22,100%
201,Denmark,70,70,25,16,100%
202,Windsor,68,50,17,34,100%
203,Islesboro,60,64,27,24,100%
204,Milo,72,50,17,29,100%
205,Montville,54,82,31,13,100%
206,Swanville,58,63,26,20,100%
207,Lovell,65,63,26,11,100%
208,Newfield,69,58,16,15,100%
209,Franklin,41,60,36,21,100%
210,Canaan,67,48,18,23,100%
211,Hiram,37,65,29,20,100%
212,Sullivan,59,55,27,18,100%
213,New Sharon,52,67,20,17,100%
214,Carrabassett Valley,67,38,12,16,100%
215,Westport,48,55,26,21,100%
216,Arrowsic,69,30,43,13,100%
217,West Paris,54,57,16,22,100%
218,Levant,61,38,20,29,100%
219,Albion,45,55,15,19,100%
220,Dixfield,55,49,11,24,100%
221,Chesterville,54,57,14,15,100%
222,Anson,70,45,8,17,100%
223,Porter,41,61,20,14,100%
224,Friendship,50,47,19,24,100%
225,Howland,59,34,13,31,100%
226,Kingfield,47,53,16,15,100%
227,Woodstock,50,59,16,16,100%
228,Newburgh,55,40,15,27,100%
229,Peru,54,46,12,20,100%
230,Steuben,43,60,14,19,100%
231,Rome,53,35,18,25,100%
232,Chebeague Island,48,48,22,15,100%
233,North Haven,34,64,23,12,100%
234,Southport,58,26,17,26,100%
235,Palmyra,43,38,14,33,100%
236,Frenchville,66,26,6,32,100%
237,Cornville,49,47,11,18,100%
238,Palermo,42,45,20,17,100%
239,Saint Agatha,78,25,4,20,100%
240,St. Albans,38,41,20,23,100%
241,Buckfield,47,41,16,18,100%
242,Baldwin,34,57,15,14,100%
243,Milbridge,43,39,19,19,100%
244,East Machias,39,47,24,9,100%
245,Enfield,63,31,11,16,100%
246,Hebron,44,46,11,10,100%
247,Morrill,39,54,16,8,100%
248,Strong,42,46,15,13,100%
249,Corinna,60,22,8,22,100%
250,Dixmont,35,49,12,19,100%
251,Corinth,37,36,19,20,100%
252,Hartland,42,39,10,19,100%
253,Limestone,41,43,11,21,100%
254,Brooks,29,61,16,4,100%
255,Penobscot Nation Vot Dst,30,61,7,16,100%
256,Freedom,20,57,15,16,100%
257,Phillips,46,38,11,15,100%
258,Easton,58,31,3,16,100%
259,Greenwood,47,30,16,13,100%
260,Mapleton,45,38,7,15,100%
261,Sangerville,36,43,7,21,100%
262,Wales,42,34,13,17,100%
263,Brownville,46,41,3,13,100%
264,Smithfield,48,32,10,15,100%
265,Belmont,39,47,12,7,100%
266,Addison,48,25,13,16,100%
267,Medway,41,13,9,30,100%
268,Sumner,36,42,14,10,100%
269,Industry,32,36,15,16,100%
270,Vienna,33,39,12,13,100%
271,Burnham,43,32,12,7,100%
272,Etna,29,35,18,17,100%
273,Troy,30,52,8,5,100%
274,Solon,29,43,10,15,100%
275,Thorndike,19,45,20,15,100%
276,Washburn,53,26,4,14,100%
277,Eagle Lake,49,14,9,15,100%
278,Hartford,37,32,5,16,100%
279,Rangeley,34,26,13,10,100%
280,Mercer,29,27,15,13,100%
281,Baileyville,48,19,7,13,100%
282,Frankfort,28,40,5,11,100%
283,Whiting,25,24,18,11,100%
284,Perry,30,20,13,19,100%
285,Woodland,47,21,4,13,100%
286,Jonesport,45,17,4,12,100%
287,New Portland,33,20,13,13,100%
288,Ashland,47,14,5,9,100%
289,Jackson,17,40,16,8,100%
290,Athens,22,27,2,19,100%
291,Eustis,28,27,3,13,100%
292,Harrington,33,19,10,11,100%
293,Newry,36,12,15,12,100%
294,Andover,27,26,7,13,100%
295,Bradford,36,22,4,13,100%
296,Weld,33,28,2,6,100%
297,Mars Hill,33,15,4,13,100%
298,Long Island,18,25,14,13,100%
299,Monson,33,20,9,9,100%
300,Clifton,22,26,11,10,100%
301,Plymouth,30,25,3,11,100%
302,Prospect,24,27,9,9,100%
303,Wallagrass,35,14,6,14,100%
304,Winter Harbor,27,15,13,13,100%
305,Charleston,26,24,8,6,100%
306,Canton,27,23,6,9,100%
307,Exeter,20,19,10,14,100%
308,Pleasant Point Votng Dst,24,27,3,13,100%
309,Somerville,18,26,12,11,100%
310,Bingham,25,21,7,10,100%
311,Detroit,24,24,3,11,100%
312,Garland,24,35,3,3,100%
313,Jackman,29,16,4,16,100%
314,Knox,24,27,8,6,100%
315,Hodgdon,34,13,7,11,100%
316,Indian Township Vtng Dst,18,32,5,10,100%
317,Stetson,24,14,7,14,100%
318,Grand Isle,31,10,1,16,100%
319,Greenbush,21,24,5,7,100%
320,New Canada,27,18,3,8,100%
321,Sweden,28,17,4,10,100%
322,Embden,20,16,5,14,100%
323,New Sweden,29,23,1,6,100%
324,Stow,22,24,6,7,100%
325,Lee,24,20,3,9,100%
326,Littleton,30,17,2,8,100%
327,Sherman,31,10,0,13,100%
328,Cranberry Isles,14,22,11,3,100%
329,Jonesboro,22,14,7,9,100%
330,Otis,25,11,12,6,100%
331,Patten,18,15,9,9,100%
332,Sorrento,20,17,7,8,100%
333,Mariaville,17,21,4,9,100%
334,Harmony,21,14,5,8,100%
335,Mattawamkeag,21,15,3,9,100%
336,Princeton,27,8,2,10,100%
337,Temple,20,19,5,3,100%
338,Abbot,19,11,5,11,100%
339,Sebec,17,23,4,3,100%
340,St. John Plt.,22,12,1,11,100%
341,Stoneham,17,15,6,8,100%
342,Swan's Island,20,16,2,6,100%
343,Roxbury,13,13,3,9,100%
344,Alexander,16,13,4,6,100%
345,Carthage,15,7,6,7,100%
346,Columbia Falls,18,11,2,6,100%
347,Ludlow,16,14,3,4,100%
348,Marshfield,18,10,2,6,100%
349,Chapman,18,4,5,7,100%
350,LaGrange,17,12,1,4,100%
351,Moscow,14,8,3,10,100%
352,Amherst,12,15,3,4,100%
353,Oxford,14,10,7,3,100%
354,Sandy River Plt.,13,12,5,4,100%
355,Westfield,14,15,1,5,100%
356,Blaine,12,12,1,8,100%
357,Castle Hill,14,11,0,8,100%
358,Linneus,14,6,5,5,100%
359,Stockholm,13,4,3,7,100%
360,Bridgewater,7,18,3,3,100%
361,Ripley,15,9,1,7,100%
362,Gilead,11,10,5,4,100%
363,New Limerick,17,5,3,5,100%
364,Burlington,11,10,3,3,100%
365,Chester,11,3,4,5,100%
366,Monticello,10,8,6,3,100%
367,Coplin Plt.,7,9,2,6,100%
368,Danforth,7,8,3,4,100%
369,Shirley,5,6,1,6,100%
370,Caswell,10,9,1,2,100%
371,Eastbrook,10,0,8,4,100%
372,Lowell,5,7,0,10,100%
373,Masardis,10,5,2,3,100%
374,Oxbow Plt.,10,5,2,3,100%
375,Weston,12,5,3,0,100%
376,Columbia,6,10,2,1,100%
377,Winn,7,7,1,3,100%
378,Byron,9,6,0,1,100%
379,Cambridge,7,6,3,2,100%
380,Northfield,4,4,6,4,100%
381,Piscataquis Cty Townshps,8,0,0,9,100%
382,Winterville Plt.,7,4,0,4,100%
383,Hamlin,9,3,1,3,100%
384,Matinicus Isle Plt.,5,5,2,3,100%
385,Waltham,8,4,1,1,100%
386,Grand Lake Stream Plt,8,3,1,3,100%
387,Medford,4,2,2,5,100%
388,Mount Chase,5,5,3,0,100%
389,Stacyville,2,4,0,4,100%
390,Seboeis Plt.,7,3,1,0,100%
391,Crystal,4,5,1,1,100%
392,Dyer Brook,6,1,1,2,100%
393,Merrill,5,1,3,0,100%
394,Topsfield,4,3,1,2,100%
395,Wesley,2,5,0,3,100%
396,Hammond,1,6,0,0,100%
397,West Forks Plt.,5,1,1,0,100%
398,Deblois,2,0,0,4,100%
399,Haynesville,2,2,0,2,100%
400,Beddington,2,3,0,0,100%
401,Garfield Plt.,1,1,1,1,100%
402,Great Pond,4,0,1,0,100%
403,Pleasant Ridge Plt.,3,0,0,2,100%
404,Upton,3,0,0,1,100%
405,Lincoln Plt.,4,0,0,0,100%
406,Westmanland,3,1,0,0,100%
407,Moose River,1,2,0,0,100%
408,Hersey,1,0,0,0,100%
409,Allagash,0,0,0,0,0%
410,Alna,0,0,0,0,0%
411,Alton,0,0,0,0,0%
412,Amity,0,0,0,0,0%
413,Aroostook Cty Townships,0,0,0,0,0%
414,Atkinson,0,0,0,0,0%
415,Aurora,0,0,0,0,0%
416,Avon,0,0,0,0,0%
417,Baring Plt.,0,0,0,0,0%
418,Beals,0,0,0,0,0%
419,Beaver Cove,0,0,0,0,0%
420,Bowerbank,0,0,0,0,0%
421,Brighton Plt.,0,0,0,0,0%
422,Caratunk,0,0,0,0,0%
423,Carroll Plt.,0,0,0,0,0%
424,Cary Plt.,0,0,0,0,0%
425,Charlotte,0,0,0,0,0%
426,Cherryfield,0,0,0,0,0%
427,Clinton,0,0,0,0,0%
428,Cooper,0,0,0,0,0%
429,Crawford,0,0,0,0,0%
430,Cutler,0,0,0,0,0%
431,Cyr Plt.,0,0,0,0,0%
432,Dallas Plt.,0,0,0,0,0%
433,Dennistown Plt.,0,0,0,0,0%
434,Dennysville,0,0,0,0,0%
435,Drew Plt.,0,0,0,0,0%
436,Eddington,0,0,0,0,0%
437,Edinburg,0,0,0,0,0%
438,Franklin Cty Townships,0,0,0,0,0%
439,Frenchboro,0,0,0,0,0%
440,Frye Island,0,0,0,0,0%
441,Glenwood Plt.,0,0,0,0,0%
442,Guilford,0,0,0,0,0%
443,Hancock Cty Townships,0,0,0,0,0%
444,Hanover,0,0,0,0,0%
445,Highland Plt.,0,0,0,0,0%
446,Hudson,0,0,0,0,0%
447,Island Falls,0,0,0,0,0%
448,Isle Au Haut,0,0,0,0,0%
449,Kenduskeag,0,0,0,0,0%
450,Kingsbury Plt.,0,0,0,0,0%
451,Lake View Plt.,0,0,0,0,0%
452,Lakeville,0,0,0,0,0%
453,Liberty,0,0,0,0,0%
454,Machiasport,0,0,0,0,0%
455,Macwahoc Plt.,0,0,0,0,0%
456,Magalloway Plt.,0,0,0,0,0%
457,Maxfield,0,0,0,0,0%
458,Meddybemps,0,0,0,0,0%
459,Monhegan Plt.,0,0,0,0,0%
460,Monroe,0,0,0,0,0%
461,Moro Plt.,0,0,0,0,0%
462,Nashville Plt.,0,0,0,0,0%
463,New Vineyard,0,0,0,0,0%
464,Oakfield,0,0,0,0,0%
465,Orient,0,0,0,0,0%
466,Orrington,0,0,0,0,0%
467,Osborn,0,0,0,0,0%
468,Oxford Cty Townships,0,0,0,0,0%
469,Parkman,0,0,0,0,0%
470,Passadumkeag,0,0,0,0,0%
471,Pembroke,0,0,0,0,0%
472,Penobscot,0,0,0,0,0%
473,Penobscot Cty Townships,0,0,0,0,0%
474,Perham,0,0,0,0,0%
475,Portage Lake,0,0,0,0,0%
476,Rangeley Plt.,0,0,0,0,0%
477,Reed Plt.,0,0,0,0,0%
478,Robbinston,0,0,0,0,0%
479,Roque Bluffs,0,0,0,0,0%
480,Smyrna,0,0,0,0,0%
481,Somerset Cty Townships,0,0,0,0,0%
482,Springfield,0,0,0,0,0%
483,St. Francis,0,0,0,0,0%
484,Starks,0,0,0,0,0%
485,Talmadge,0,0,0,0,0%
486,The Forks Plt.,0,0,0,0,0%
487,Thomaston,0,0,0,0,0%
488,Vanceboro,0,0,0,0,0%
489,Verona,0,0,0,0,0%
490,Wade,0,0,0,0,0%
491,Waite,0,0,0,0,0%
492,Washington Cty Townships,0,0,0,0,0%
493,Webster Plt.,0,0,0,0,0%
494,Wellington,0,0,0,0,0%
495,Whitneyville,0,0,0,0,0%
496,Willimantic,0,0,0,0,0%
497,Woodville,0,0,0,0,0%
